nombreImagen:tEjecucionSeam:tEjecucionRun:tEtotal:memoriaSeamCarvingNeta:memoriaRunLenthNeta:memoriaCompresion
can_cows_help_mitigate_climate_change_1050x700,csv:48,821215867996216:1,3123981952667236:50,13361406326294:24,390625:0,0:24,390625
cattle-grazing-pasture-Pete-Flickr,csv:19,083173990249634:0,8613152503967285:19,944489240646362:10,0234375:0,0:10,0234375
cedar-island-cow,csv:57,44380164146423:1,3203344345092773:58,76413607597351:21,0625:0,0:21,0625
CH_cow_2_cropped,csv:1576,1276667118073:11,388285636901855:1587,515952348709:355,09765625:97,88671875:452,984375
connected-cows-1280x720,csv:75,52952027320862:1,5594573020935059:77,08897757530212:27,69921875:0,0:27,69921875
connected-cows,csv:17,45639181137085:0,814582109451294:18,270973920822144:8,953125:0,00390625:8,95703125
Cow (1),csv:13,848737001419067:0,8432085514068604:14,691945552825928:9,37109375:0,0:9,37109375
cow (2),csv:21,73125386238098:0,9107599258422852:22,642013788223267:11,48828125:0,0:11,48828125
cow (3),csv:302,45964670181274:3,5204265117645264:305,98007321357727:107,50390625:7,1953125:114,69921875
Cow (4),csv:24,340062618255615:0,9856524467468262:25,32571506500244:12,2578125:0,0:12,2578125
cow (5),csv:147,7058515548706:2,317068576812744:150,02292013168335:38,8828125:5,0234375:43,90625
cow (6),csv:82,10110139846802:1,721038579940796:83,82213997840881:29,3671875:0,0:29,3671875
cow (Case Conflict),csv:6,367027997970581:0,6855056285858154:7,0525336265563965:5,546875:0,0:5,546875
Cow 1000x1000,csv:63,163007736206055:1,6408321857452393:64,8038399219513:31,20703125:0,0:31,20703125
cow-1,csv:29,288349390029907:1,0177125930786133:30,30606198310852:13,05078125:0,0:13,05078125
cow-1200,csv:60,37579035758972:1,4158689975738525:61,791659355163574:21,37890625:0,0:21,37890625
cow-1509258_640-640x426,csv:11,402400493621826:0,7173640727996826:12,119764566421509:6,7890625:0,0:6,7890625
cow-1574218,csv:404,9851324558258:4,430930137634277:409,4160625934601:132,796875:14,5:147,296875
cow-1955406_1280,csv:89,41125416755676:1,7807047367095947:91,19195890426636:29,51171875:0,125:29,63671875
Cow-2,csv:8,59415340423584:0,659531831741333:9,253685235977173:4,7890625:0,0:4,7890625
cow-2755520_1280-e1562847293329,csv:60,34299159049988:1,4113810062408447:61,75437259674072:31,09765625:0,0625:31,16015625
cow-2896329_960_720-Copy-476x459,csv:7,1848297119140625:0,6551728248596191:7,840002536773682:4,7578125:0,0:4,7578125
cow-300x225 (1),csv:1,6400866508483887:0,9259686470031738:2,5660552978515625:0,046875:0,0:0,046875
cow-300x225,csv:1,6433913707733154:0,9328029155731201:2,5761942863464355:-0,25:0,0:-0,25
cow-354428_1280,csv:103,17041873931885:1,970362663269043:105,14078140258789:54,609375:0,0:54,609375
cow-4364016_960_720-e1565270790112,csv:3,0523149967193604:1,0149476528167725:4,067262649536133:1,55859375:0,0:1,55859375
cow-5717273__340,csv:6,362755537033081:0,6064691543579102:6,969224691390991:3,74609375:0,0:3,74609375
cow-5717278__340,csv:6,339875936508179:0,5970520973205566:6,936928033828735:3,97265625:0,0:3,97265625
cow-952199_1280-1024x682,csv:46,37334656715393:1,264343500137329:47,63769006729126:18,109375:0,0:18,109375
Cow-Activity-Monitor,csv:52,92590570449829:1,2689335346221924:54,19483923912048:26,17578125:0,0:26,17578125
cow-and-calf-in-field-1602778968,csv:7,5767199993133545:0,6593711376190186:8,236091136932373:5,2734375:0,0:5,2734375
Cow-and-Calf,csv:44,27095985412598:1,2449679374694824:45,51592779159546:17,88671875:0,0:17,88671875
Cow-and-calves-in-pasture,csv:10,477473974227905:0,7339432239532471:11,211417198181152:7,4140625:0,0:7,4140625
